experimento,problema,run,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,BB,LOP,ILI,HEAL,QUI,AUA,rendimiento,riesgo,fitness,err_rendimiento,err_riesgo,tiempo_seg
25,P1,2,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.071575,0.399999,0.33039,0.198037,0.0,0.686352,0.044425,-0.686352,0.005648,0.001055,0
25,P1,3,200,500,15,20,0.9,0.05,3,100000.0,1e-06,0.056644,0.399991,0.37855,0.164738,7.7e-05,0.688859,0.043479,-0.688859,0.003141,0.002001,0
25,P1,4,200,500,15,20,0.9,0.05,3,100000.0,4e-06,0.172754,0.399997,0.222824,0.203501,0.00092,0.677853,0.04968,-0.677853,0.014147,0.0042,0
25,P1,5,200,500,15,20,0.9,0.05,3,100000.0,0.004117,0.11165,0.399947,0.385361,0.095785,0.00314,0.685347,0.042369,-0.685347,0.006653,0.003111,0
25,P1,6,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.144693,0.399936,0.264031,0.19134,0.0,0.680739,0.046931,-0.680739,0.011261,0.001451,0
25,P1,7,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.05477,0.399915,0.375501,0.16901,0.000804,0.688655,0.043551,-0.688655,0.003345,0.001929,0
25,P1,8,200,500,15,20,0.9,0.05,3,100000.0,0.001461,0.061905,0.4,0.32502,0.211614,0.0,0.686145,0.044742,-0.686145,0.005855,0.000738,0
25,P1,9,200,500,15,20,0.9,0.05,3,100000.0,0.001239,0.178077,0.399953,0.255258,0.164697,0.000777,0.678615,0.048271,-0.678615,0.013385,0.002791,0
25,P1,10,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.023595,0.399994,0.312857,0.263554,1e-06,0.687567,0.046531,-0.687567,0.004433,0.001051,0
25,P1,11,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.086243,0.399999,0.281416,0.221012,0.01133,0.681993,0.045525,-0.681993,0.010007,4.5e-05,0
25,P1,12,200,500,15,20,0.9,0.05,3,100000.0,0.00249,0.187495,0.399764,0.314466,0.095744,4e-05,0.680297,0.046208,-0.680297,0.011703,0.000728,0
25,P1,13,200,500,15,20,0.9,0.05,3,100000.0,0.00068,0.116987,0.399965,0.398113,0.07962,0.004636,0.686308,0.042171,-0.686308,0.005692,0.003309,0
25,P1,14,200,500,15,20,0.9,0.05,3,100000.0,0.002712,0.142972,0.4,0.297699,0.143266,0.013352,0.679348,0.045211,-0.679348,0.012652,0.000269,0
25,P1,15,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.10876,0.399697,0.388577,0.099731,0.003235,0.686512,0.042363,-0.686512,0.005488,0.003117,0
28,P1,1,200,500,30,20,0.9,0.05,3,100000.0,2.2e-05,0.028196,0.399017,0.316782,0.245611,0.010371,0.685347,0.045456,-0.685347,0.006653,2.4e-05,0
28,P1,2,200,500,30,20,0.9,0.05,3,100000.0,0.004888,0.00153,0.4,0.331817,0.261715,5e-05,0.687933,0.046733,-0.687933,0.004067,0.001253,0
28,P1,3,200,500,30,20,0.9,0.05,3,100000.0,0.022653,0.125113,0.399983,0.302838,0.148764,0.00065,0.677106,0.04454,-0.677106,0.014894,0.00094,0
28,P1,4,200,500,30,20,0.9,0.05,3,100000.0,1e-06,0.055242,0.399113,0.396234,0.134589,0.014821,0.686789,0.042248,-0.686789,0.005211,0.003232,0
