Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
4, -2.8999978828409985, -2.8999978828409985, -78.33189948325875, -2.8999978828409985, -4.1799991035452875, -36.75283761004577, -78.33189948325875, 9.28749830302562, 0.3, 0.5
5, -2.8999978828409985, -2.879997863767494, -78.32261234347452, -4.1799991035452875, -2.879997863767494, -36.74355047026154, -78.32261114971148, 9.849790875463727, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.1835342631666785, -36.48138959761498, -78.33233140552746, 6.020457199710586, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035330424623895, -36.48138959761498, -78.33232463212923, 9.079375890617577, 0.6, 0.8
8, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.8793533319028204, -38.25911008836033, -78.31242093939181, 9.458474318019878, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.903718589514341, -4.183710044584317, -36.46785184166598, -78.33207296735064, 10.789400728796407, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -3.2000079345778794, -76.64776868675095, -2.879997863767494, -3.2050079393462556, -76.58801802235986, -76.64776868675095, 0.005945116042790742, 0.01, 0.1
1, -2.905007653243688, -2.9200076675488162, -78.32757525182795, -2.905007653243688, -2.9300076770855688, -78.3200670087332, -78.32757525182795, 0.000747018435410286, 0.05, 0.2
2, -2.903513511193763, -2.905007653243688, -78.33229383187691, -2.583513206017691, -2.905007653243688, -76.74648968836134, -78.33229383187691, 0.15778373347338717, 0.1, 0.3
3, -2.879997863767494, -2.5599975585914216, -76.51060193823695, -4.159999084471783, -2.5599975585914216, -36.45691225010205, -76.51060193823695, 8.908666814095893, 0.2, 0.4
4, -2.879997863767494, -2.8999978828409985, -78.32261234347453, -2.879997863767494, -4.1799991035452875, -36.74355047026154, -78.32261234347453, 7.107647454396621, 0.3, 0.5
5, -2.9035330424623895, -2.902497885225187, -78.33231284994822, -2.9035330424623895, -4.182499105929476, -36.56105268988571, -78.33231284994822, 9.626953439758877, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035721049996424, -36.48138957256088, -78.33233140157853, 9.472672958019057, 0.5, 0.7
7, -2.9037576520515938, -2.9035330424623895, -78.33233054274943, -4.183758872755883, -2.9035330424623895, -36.46409161839637, -78.33232859880765, 7.107076265331511, 0.6, 0.8
8, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -4.183573325703931, -2.879997863767494, -36.46887847408541, -78.32257124374621, 11.87628340247301, 0.7, 0.9
9, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -4.183211997234342, -2.8799880981331807, -36.49668963552661, -78.32060871353121, 10.886694166797085, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -2.9200076675488162, -78.31810971828912, -2.879997863767494, -2.9300076770855688, -78.31060147519439, -78.31810971828912, 0.0007470607554002166, 0.01, 0.1
1, -2.905007653243688, -2.879997863767494, -78.32279073722911, -2.905007653243688, -2.869997854230742, -78.31306488371379, -78.32279073722911, 0.0009685467642958708, 0.05, 0.2
2, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.879997863767494, -38.25963551555538, -78.31332520369028, 4.627072324435961, 0.1, 0.3
3, -2.8999978828409985, -2.8999978828409985, -78.33189948325875, -4.1799991035452875, -2.8999978828409985, -36.75283761004577, -78.33189948325875, 5.820277041495277, 0.2, 0.4
4, -2.879997863767494, -2.9037576520515938, -78.32282744083994, -2.879997863767494, -4.183758872755883, -36.45458851648687, -78.32282744083994, 8.539957720409106, 0.3, 0.5
5, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.1835342631666785, -36.48138959761498, -78.33233140750926, 8.52643459617173, 0.4, 0.6
6, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -2.9035330424623895, -4.183758872755883, -36.46409161839636, -78.33232997941056, 9.487094041925399, 0.5, 0.7
7, -2.8999978828409985, -2.879997863767494, -78.32261234347452, -4.1799991035452875, -2.879997863767494, -36.74355047026154, -78.32219854691813, 12.17013536386817, 0.6, 0.8
